ENSG	SYM	oncodriveROLE	Value
ENSG00000130396	MLLT4	Loss of function	0.047
ENSG00000131018	SYNE1	Activating	0.7715
ENSG00000132522	GPS2	Loss of function	0.0145
ENSG00000133703	KRAS	Activating	0.9995
ENSG00000134086	VHL	Loss of function	0.012
ENSG00000134371	CDC73	No class	0.58
ENSG00000134982	APC	Loss of function	0
ENSG00000135111	TBX3	Loss of function	0.061
ENSG00000135503	ACVR1B	Loss of function	0.1935
ENSG00000135829	DHX9	Activating	0.937
ENSG00000136167	LCP1	Loss of function	0.011
ENSG00000136238	RAC1	Activating	0.8965
ENSG00000137845	ADAM10	Activating	0.763
ENSG00000138413	IDH1	Activating	0.993
ENSG00000138688	KIAA1109	Activating	0.7855
ENSG00000138829	FBN2	Activating	0.7165
ENSG00000139618	BRCA2	Loss of function	0.047
ENSG00000139687	RB1	Loss of function	0
ENSG00000140262	TCF12	Loss of function	0
ENSG00000140836	ZFHX3	Loss of function	0.0085
ENSG00000141027	NCOR1	Loss of function	0.012
ENSG00000141367	CLTC	Activating	0.8565
ENSG00000141510	TP53	Loss of function	0.0065
ENSG00000141646	SMAD4	Loss of function	0.0185
ENSG00000142208	AKT1	Activating	0.995
ENSG00000142453	CARM1	Activating	0.8335
ENSG00000143398	PIP5K1A	No class	0.543
ENSG00000145388	METTL14	Activating	0.705
ENSG00000145675	PIK3R1	Loss of function	0.0175
ENSG00000145715	RASA1	Loss of function	0.009
ENSG00000146648	EGFR	Activating	0.996
ENSG00000147050	KDM6A	Loss of function	0.005
ENSG00000147133	TAF1	Activating	0.918
ENSG00000147548	WHSC1L1	Loss of function	0.2195
ENSG00000147889	CDKN2A	Loss of function	0.035
ENSG00000148400	NOTCH1	Loss of function	0.061
ENSG00000148737	TCF7L2	Loss of function	0.0165
ENSG00000149311	ATM	Loss of function	5e-04
ENSG00000149531	FRG1B	Activating	0.7825
ENSG00000150347	ARID5B	Loss of function	0.0955
ENSG00000152518	ZFP36L2	Loss of function	0.005
ENSG00000153113	CAST	Loss of function	0.011
ENSG00000153234	NR4A2	Loss of function	0.195
ENSG00000155085	AKD1	Activating	0.7545
ENSG00000156313	RPGR	Loss of function	0.2005
ENSG00000156508	EEF1A1	Loss of function	0.188
ENSG00000156531	PHF6	Loss of function	0.021
ENSG00000156976	EIF4A2	Activating	0.8195
ENSG00000157404	KIT	Activating	0.975
ENSG00000157764	BRAF	Activating	0.9995
ENSG00000159216	RUNX1	Loss of function	0.001
ENSG00000160007	ARHGAP35	Loss of function	0
ENSG00000160145	KALRN	Activating	0.8895
ENSG00000160201	U2AF1	Activating	0.9335
ENSG00000163386	NBPF10	Activating	0.991
ENSG00000163435	ELF3	Loss of function	0.032
ENSG00000163513	TGFBR2	Loss of function	0.0435
ENSG00000163930	BAP1	Loss of function	0.0015
ENSG00000163939	PBRM1	Loss of function	0.001
ENSG00000164736	SOX17	Activating	0.8735
ENSG00000164742	ADCY1	Activating	0.8775
ENSG00000164754	RAD21	Loss of function	0.2865
ENSG00000165671	NSD1	Loss of function	0.0015
ENSG00000166710	B2M	Loss of function	0.032
ENSG00000167232	ZNF91	Activating	0.997
ENSG00000167258	CDK12	Loss of function	0.096
ENSG00000167548	MLL2	Loss of function	0.0125
ENSG00000168036	CTNNB1	Activating	0.985
ENSG00000168646	AXIN2	Loss of function	0.261
ENSG00000168769	TET2	Loss of function	0.012
ENSG00000169375	SIN3A	Activating	0.7445
ENSG00000169564	PCBP1	No class	NA
ENSG00000171456	ASXL1	Loss of function	0.1095
ENSG00000171862	PTEN	Loss of function	0.0055
ENSG00000174231	PRPF8	Activating	0.702
ENSG00000174775	HRAS	Activating	0.915
ENSG00000175054	ATR	No class	0.3895
ENSG00000175387	SMAD2	Loss of function	0
ENSG00000177565	TBL1XR1	Loss of function	0.1265
ENSG00000178691	SUZ12	Loss of function	0.0025
ENSG00000179295	PTPN11	Activating	0.961
ENSG00000181163	NPM1	Loss of function	0.0405
ENSG00000181555	SETD2	Loss of function	0
ENSG00000182054	IDH2	Activating	0.9925
ENSG00000183337	BCOR	Loss of function	0.0175
ENSG00000183765	CHEK2	Loss of function	0.2985
ENSG00000184634	MED12	Activating	0.932
ENSG00000184937	WT1	Loss of function	0.067
ENSG00000185650	ZFP36L1	Loss of function	0.05
ENSG00000185950	IRS2	Loss of function	0.022
ENSG00000188375	H3F3C	Activating	0.9715
ENSG00000189079	ARID2	Loss of function	0.022
ENSG00000196498	NCOR2	Activating	0.9045
ENSG00000196712	NF1	Loss of function	0
ENSG00000197299	BLM	No class	0.327
ENSG00000198176	TFDP1	Activating	0.9375
ENSG00000198561	CTNND1	Loss of function	0.016
ENSG00000198793	MTOR	Activating	0.957
ENSG00000204514	ZNF814	Activating	0.913
ENSG00000205246	RPSAP58	Activating	0.9925
ENSG00000206503	HLA-A	Loss of function	5e-04
ENSG00000213281	NRAS	Activating	0.9975
ENSG00000223547	ZNF844	Activating	0.919
ENSG00000234745	HLA-B	Loss of function	0.071
ENSG00000245848	CEBPA	Loss of function	0.1255
